time_sec,leg_id,planned_x_rel_m,planned_y_rel_m,planned_z_rel_m,actual_x_rel_m,actual_y_rel_m,actual_z_rel_m,actual_x_abs_m,actual_y_abs_m,actual_z_abs_m
0.000001,0,0.000000,0.000000,0.000000,0.000000,-0.000884,-0.000360,-0.041077,0.107116,-0.264076
0.000001,1,0.000000,0.000000,0.000000,0.000000,-0.001714,0.000710,-0.037325,-0.109714,-0.262376
0.000001,2,0.000000,0.000000,0.000000,0.000000,0.000051,0.000021,-0.036536,0.108051,-0.264511
0.000001,3,0.000000,0.000000,0.000000,0.000000,0.002306,-0.000934,-0.037642,-0.105694,-0.264239
0.007968,0,0.000008,0.000000,0.000000,-0.000011,-0.000876,-0.000359,-0.041088,0.107124,-0.264074
0.007968,1,0.000008,0.000000,0.000000,0.000008,-0.001698,0.000702,-0.037317,-0.109698,-0.262384
0.007968,2,0.000008,0.000000,0.000000,0.000005,0.000059,0.000020,-0.036531,0.108059,-0.264511
0.007968,3,0.000008,0.000000,0.000000,0.000048,0.002298,-0.000938,-0.037594,-0.105702,-0.264243
0.011929,0,0.000019,0.000000,0.000000,-0.000100,-0.000700,-0.000139,-0.041178,0.107300,-0.263855
0.011929,1,0.000019,0.000000,0.000000,0.000175,-0.001689,0.000873,-0.037150,-0.109689,-0.262213
0.011929,2,0.000019,0.000000,0.000000,0.000162,0.000219,0.000207,-0.036374,0.108219,-0.264325
0.011929,3,0.000019,0.000000,0.000000,0.000165,0.001985,-0.000626,-0.037477,-0.106015,-0.263931
0.016208,0,0.000034,0.000000,0.000001,-0.000158,-0.000588,0.000015,-0.041235,0.107412,-0.263700
0.016208,1,0.000034,0.000000,0.000001,0.000289,-0.001696,0.000991,-0.037036,-0.109696,-0.262095
0.016208,2,0.000034,0.000000,0.000001,0.000276,0.000363,0.000356,-0.036260,0.108363,-0.264175
0.016208,3,0.000034,0.000000,0.000001,0.000250,0.001760,-0.000405,-0.037392,-0.106240,-0.263710
0.020186,0,0.000053,0.000000,0.000002,-0.000181,-0.000468,0.000162,-0.041258,0.107532,-0.263554
0.020186,1,0.000053,0.000000,0.000002,0.000386,-0.001688,0.001105,-0.036939,-0.109688,-0.261981
0.020186,2,0.000053,0.000000,0.000002,0.000382,0.000499,0.000494,-0.036153,0.108499,-0.264037
0.020186,3,0.000053,0.000000,0.000002,0.000302,0.001512,-0.000188,-0.037340,-0.106488,-0.263493
0.023794,0,0.000075,0.000000,0.000003,-0.000202,-0.000372,0.000284,-0.041279,0.107628,-0.263432
0.023794,1,0.000075,0.000000,0.000003,0.000487,-0.001679,0.001197,-0.036838,-0.109679,-0.261890
0.023794,2,0.000075,0.000000,0.000003,0.000461,0.000619,0.000609,-0.036075,0.108619,-0.263923
0.023794,3,0.000075,0.000000,0.000003,0.000369,0.001312,-0.000011,-0.037273,-0.106688,-0.263316
0.027223,0,0.000100,0.000000,0.000004,-0.000161,-0.000308,0.000364,-0.041238,0.107692,-0.263352
0.027223,1,0.000100,0.000000,0.000004,0.000536,-0.001679,0.001260,-0.036789,-0.109679,-0.261827
0.027223,2,0.000100,0.000000,0.000004,0.000519,0.000683,0.000682,-0.036017,0.108683,-0.263850
0.027223,3,0.000100,0.000000,0.000004,0.000413,0.001176,0.000111,-0.037229,-0.106824,-0.263194
0.031631,0,0.000132,0.000000,0.000007,-0.000186,-0.000244,0.000452,-0.041263,0.107756,-0.263264
0.031631,1,0.000132,0.000000,0.000007,0.000598,-0.001670,0.001324,-0.036726,-0.109670,-0.261763
0.031631,2,0.000132,0.000000,0.000007,0.000592,0.000755,0.000771,-0.035944,0.108755,-0.263760
0.031631,3,0.000132,0.000000,0.000007,0.000468,0.001040,0.000253,-0.037174,-0.106960,-0.263053
0.035025,0,0.000165,0.000000,0.000009,-0.000211,-0.000188,0.000536,-0.041288,0.107812,-0.263179
0.035025,1,0.000165,0.000000,0.000009,0.000676,-0.001662,0.001385,-0.036648,-0.109662,-0.261701
0.035025,2,0.000165,0.000000,0.000009,0.000656,0.000818,0.000850,-0.035880,0.108818,-0.263682
0.035025,3,0.000165,0.000000,0.000009,0.000488,0.000928,0.000359,-0.037154,-0.107072,-0.262946
0.038845,0,0.000203,0.000000,0.000012,-0.000256,-0.000140,0.000609,-0.041333,0.107860,-0.263107
0.038845,1,0.000203,0.000000,0.000012,0.000714,-0.001654,0.001435,-0.036611,-0.109654,-0.261652
0.038845,2,0.000203,0.000000,0.000012,0.000720,0.000874,0.000915,-0.035816,0.108874,-0.263616
0.038845,3,0.000203,0.000000,0.000012,0.000509,0.000840,0.000450,-0.037133,-0.107160,-0.262856
0.042263,0,0.000243,0.000000,0.000016,-0.000282,-0.000108,0.000675,-0.041359,0.107892,-0.263041
0.042263,1,0.000243,0.000000,0.000016,0.000765,-0.001661,0.001486,-0.036560,-0.109661,-0.261601
0.042263,2,0.000243,0.000000,0.000016,0.000781,0.000930,0.000979,-0.035755,0.108930,-0.263553
0.042263,3,0.000243,0.000000,0.000016,0.000531,0.000753,0.000531,-0.037112,-0.107247,-0.262774
0.045608,0,0.000287,0.000000,0.000021,-0.000316,-0.000069,0.000736,-0.041393,0.107931,-0.262980
0.045608,1,0.000287,0.000000,0.000021,0.000793,-0.001653,0.001518,-0.036532,-0.109653,-0.261568
0.045608,2,0.000287,0.000000,0.000021,0.000828,0.000970,0.001031,-0.035708,0.108970,-0.263500
0.045608,3,0.000287,0.000000,0.000021,0.000543,0.000665,0.000604,-0.037099,-0.107335,-0.262701
0.048901,0,0.000333,0.000000,0.000026,-0.000298,-0.000037,0.000783,-0.041375,0.107963,-0.262933
0.048901,1,0.000333,0.000000,0.000026,0.000830,-0.001653,0.001552,-0.036495,-0.109653,-0.261534
0.048901,2,0.000333,0.000000,0.000026,0.000873,0.001009,0.001081,-0.035663,0.109009,-0.263450
0.048901,3,0.000333,0.000000,0.000026,0.000566,0.000593,0.000664,-0.037076,-0.107407,-0.262641
0.051974,0,0.000381,0.000000,0.000031,-0.000274,0.000003,0.000838,-0.041351,0.108003,-0.262878
0.051974,1,0.000381,0.000000,0.000031,0.000871,-0.001661,0.001586,-0.036453,-0.109661,-0.261500
0.051974,2,0.000381,0.000000,0.000031,0.000917,0.001049,0.001131,-0.035619,0.109049,-0.263400
0.051974,3,0.000381,0.000000,0.000031,0.000592,0.000538,0.000719,-0.037050,-0.107462,-0.262586
0.056091,0,0.000440,0.000000,0.000039,-0.000303,0.000051,0.000898,-0.041380,0.108051,-0.262817
0.056091,1,0.000440,0.000000,0.000039,0.000913,-0.001669,0.001620,-0.036412,-0.109669,-0.261466
0.056091,2,0.000440,0.000000,0.000039,0.000961,0.001089,0.001181,-0.035574,0.109089,-0.263350
0.056091,3,0.000440,0.000000,0.000039,0.000599,0.000458,0.000784,-0.037043,-0.107542,-0.262521
0.060441,0,0.000506,0.000000,0.000048,-0.000316,0.000107,0.000969,-0.041393,0.108107,-0.262747
0.060441,1,0.000506,0.000000,0.000048,0.000945,-0.001684,0.001674,-0.036380,-0.109684,-0.261412
0.060441,2,0.000506,0.000000,0.000048,0.001033,0.001121,0.001236,-0.035503,0.109121,-0.263295
0.060441,3,0.000506,0.000000,0.000048,0.000617,0.000402,0.000841,-0.037025,-0.107598,-0.262464
0.064290,0,0.000572,0.000000,0.000058,-0.000318,0.000162,0.001041,-0.041395,0.108162,-0.262675
0.064290,1,0.000572,0.000000,0.000058,0.000987,-0.001700,0.001721,-0.036338,-0.109700,-0.261365
0.064290,2,0.000572,0.000000,0.000058,0.001075,0.001152,0.001280,-0.035461,0.109152,-0.263251
0.064290,3,0.000572,0.000000,0.000058,0.000643,0.000339,0.000900,-0.036999,-0.107661,-0.262405
0.067660,0,0.000638,0.000000,0.000068,-0.000325,0.000226,0.001111,-0.041403,0.108226,-0.262605
0.067660,1,0.000638,0.000000,0.000068,0.001026,-0.001723,0.001768,-0.036299,-0.109723,-0.261318
